root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
8 packets transmitted, 0 received, 100% packet loss, time 7167ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
4 packets transmitted, 0 received, 100% packet loss, time 3068ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=316 ttl=63 time=211 ms                      
64 bytes from 10.10.10.25: icmp_seq=317 ttl=63 time=219 ms                      
64 bytes from 10.10.10.25: icmp_seq=318 ttl=63 time=208 ms                      
64 bytes from 10.10.10.25: icmp_seq=319 ttl=63 time=205 ms                      
64 bytes from 10.10.10.25: icmp_seq=320 ttl=63 time=290 ms                      
64 bytes from 10.10.10.25: icmp_seq=321 ttl=63 time=249 ms                      
64 bytes from 10.10.10.25: icmp_seq=322 ttl=63 time=213 ms                      
64 bytes from 10.10.10.25: icmp_seq=323 ttl=63 time=222 ms                      
64 bytes from 10.10.10.25: icmp_seq=324 ttl=63 time=212 ms                      
64 bytes from 10.10.10.25: icmp_seq=325 ttl=63 time=213 ms                      
64 bytes from 10.10.10.25: icmp_seq=326 ttl=63 time=213 ms                      
64 bytes from 10.10.10.25: icmp_seq=327 ttl=63 time=324 ms                      
64 bytes from 10.10.10.25: icmp_seq=328 ttl=63 time=206 ms                      
64 bytes from 10.10.10.25: icmp_seq=329 ttl=63 time=240 ms                      
64 bytes from 10.10.10.25: icmp_seq=330 ttl=63 time=225 ms                      
64 bytes from 10.10.10.25: icmp_seq=331 ttl=63 time=217 ms                      
64 bytes from 10.10.10.25: icmp_seq=332 ttl=63 time=209 ms                      
64 bytes from 10.10.10.25: icmp_seq=333 ttl=63 time=223 ms                      
64 bytes from 10.10.10.25: icmp_seq=334 ttl=63 time=353 ms                      
64 bytes from 10.10.10.25: icmp_seq=335 ttl=63 time=313 ms                      
64 bytes from 10.10.10.25: icmp_seq=336 ttl=63 time=216 ms                      
64 bytes from 10.10.10.25: icmp_seq=337 ttl=63 time=212 ms                      
64 bytes from 10.10.10.25: icmp_seq=338 ttl=63 time=211 ms                      
^C                                      
--- 10.10.10.25 ping statistics ---     
368 packets transmitted, 213 received, 42.1196% packet loss, time 370947ms      
rtt min/avg/max/mdev = 173.675/226.525/630.087/57.989 ms                        
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=1 ttl=63 time=199 ms                        
64 bytes from 10.10.10.25: icmp_seq=2 ttl=63 time=247 ms                        
64 bytes from 10.10.10.25: icmp_seq=3 ttl=63 time=184 ms                        
64 bytes from 10.10.10.25: icmp_seq=4 ttl=63 time=183 ms                        
64 bytes from 10.10.10.25: icmp_seq=5 ttl=63 time=256 ms                        
64 bytes from 10.10.10.25: icmp_seq=6 ttl=63 time=183 ms                        
64 bytes from 10.10.10.25: icmp_seq=7 ttl=63 time=242 ms                        
64 bytes from 10.10.10.25: icmp_seq=8 ttl=63 time=205 ms                        
64 bytes from 10.10.10.25: icmp_seq=9 ttl=63 time=189 ms                        
64 bytes from 10.10.10.25: icmp_seq=10 ttl=63 time=196 ms                       
64 bytes from 10.10.10.25: icmp_seq=11 ttl=63 time=186 ms                       
64 bytes from 10.10.10.25: icmp_seq=12 ttl=63 time=187 ms                       
64 bytes from 10.10.10.25: icmp_seq=13 ttl=63 time=193 ms                       
64 bytes from 10.10.10.25: icmp_seq=14 ttl=63 time=198 ms                       
64 bytes from 10.10.10.25: icmp_seq=15 ttl=63 time=217 ms                       
64 bytes from 10.10.10.25: icmp_seq=16 ttl=63 time=191 ms                       
64 bytes from 10.10.10.25: icmp_seq=17 ttl=63 time=179 ms                       
64 bytes from 10.10.10.25: icmp_seq=18 ttl=63 time=198 ms                       
64 bytes from 10.10.10.25: icmp_seq=19 ttl=63 time=204 ms                       
64 bytes from 10.10.10.25: icmp_seq=20 ttl=63 time=185 ms                       
64 bytes from 10.10.10.25: icmp_seq=21 ttl=63 time=190 ms                       
64 bytes from 10.10.10.25: icmp_seq=22 ttl=63 time=191 ms                       
64 bytes from 10.10.10.25: icmp_seq=23 ttl=63 time=190 ms                       
64 bytes from 10.10.10.25: icmp_seq=24 ttl=63 time=203 ms                       
64 bytes from 10.10.10.25: icmp_seq=25 ttl=63 time=197 ms                       
64 bytes from 10.10.10.25: icmp_seq=26 ttl=63 time=202 ms                       
64 bytes from 10.10.10.25: icmp_seq=27 ttl=63 time=197 ms                       
64 bytes from 10.10.10.25: icmp_seq=28 ttl=63 time=199 ms                       
64 bytes from 10.10.10.25: icmp_seq=29 ttl=63 time=187 ms                       
64 bytes from 10.10.10.25: icmp_seq=30 ttl=63 time=221 ms                       
64 bytes from 10.10.10.25: icmp_seq=31 ttl=63 time=200 ms                       
64 bytes from 10.10.10.25: icmp_seq=32 ttl=63 time=202 ms                       
64 bytes from 10.10.10.25: icmp_seq=33 ttl=63 time=179 ms                       
64 bytes from 10.10.10.25: icmp_seq=34 ttl=63 time=201 ms                       
64 bytes from 10.10.10.25: icmp_seq=35 ttl=63 time=196 ms                       
64 bytes from 10.10.10.25: icmp_seq=36 ttl=63 time=194 ms                       
64 bytes from 10.10.10.25: icmp_seq=37 ttl=63 time=288 ms                       
64 bytes from 10.10.10.25: icmp_seq=38 ttl=63 time=374 ms                       
64 bytes from 10.10.10.25: icmp_seq=39 ttl=63 time=192 ms                       
64 bytes from 10.10.10.25: icmp_seq=40 ttl=63 time=187 ms                       
64 bytes from 10.10.10.25: icmp_seq=41 ttl=63 time=177 ms                       
64 bytes from 10.10.10.25: icmp_seq=42 ttl=63 time=202 ms                       
64 bytes from 10.10.10.25: icmp_seq=43 ttl=63 time=198 ms                       
64 bytes from 10.10.10.25: icmp_seq=44 ttl=63 time=191 ms                       
64 bytes from 10.10.10.25: icmp_seq=45 ttl=63 time=202 ms                       
64 bytes from 10.10.10.25: icmp_seq=46 ttl=63 time=223 ms                       
64 bytes from 10.10.10.25: icmp_seq=47 ttl=63 time=207 ms                       
64 bytes from 10.10.10.25: icmp_seq=48 ttl=63 time=216 ms                       
64 bytes from 10.10.10.25: icmp_seq=49 ttl=63 time=178 ms                       
64 bytes from 10.10.10.25: icmp_seq=50 ttl=63 time=196 ms                       
64 bytes from 10.10.10.25: icmp_seq=51 ttl=63 time=196 ms                       
^C                                      
--- 10.10.10.25 ping statistics ---     
123 packets transmitted, 51 received, 58.5366% packet loss, time 123771ms       
rtt min/avg/max/mdev = 177.009/203.821/373.815/31.402 ms                        
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=11 ttl=63 time=295 ms                       
^C                                      
--- 10.10.10.25 ping statistics ---     
12 packets transmitted, 1 received, 91.6667% packet loss, time 11245ms          
rtt min/avg/max/mdev = 294.844/294.844/294.844/0.000 ms                         
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=1 ttl=63 time=344 ms                        
64 bytes from 10.10.10.25: icmp_seq=2 ttl=63 time=301 ms                        
^C                                      
--- 10.10.10.25 ping statistics ---     
3 packets transmitted, 2 received, 33.3333% packet loss, time 2003ms            
rtt min/avg/max/mdev = 301.085/322.382/343.680/21.297 ms                        
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=1 ttl=63 time=290 ms                        
64 bytes from 10.10.10.25: icmp_seq=2 ttl=63 time=249 ms                        
^C                                      
--- 10.10.10.25 ping statistics ---     
3 packets transmitted, 2 received, 33.3333% packet loss, time 2003ms            
rtt min/avg/max/mdev = 249.144/269.664/290.185/20.520 ms                        
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
5 packets transmitted, 0 received, 100% packet loss, time 4103ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
7 packets transmitted, 0 received, 100% packet loss, time 6136ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
6 packets transmitted, 0 received, 100% packet loss, time 5122ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
4 packets transmitted, 0 received, 100% packet loss, time 3075ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=9 ttl=63 time=216 ms                        
64 bytes from 10.10.10.25: icmp_seq=10 ttl=63 time=443 ms                       
64 bytes from 10.10.10.25: icmp_seq=11 ttl=63 time=475 ms                       
64 bytes from 10.10.10.25: icmp_seq=12 ttl=63 time=361 ms                       
^C                                      
--- 10.10.10.25 ping statistics ---     
12 packets transmitted, 4 received, 66.6667% packet loss, time 11201ms          
rtt min/avg/max/mdev = 215.687/373.364/474.596/100.079 ms                       
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
14 packets transmitted, 0 received, 100% packet loss, time 13295ms              

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
10 packets transmitted, 0 received, 100% packet loss, time 9216ms               

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
5 packets transmitted, 0 received, 100% packet loss, time 4094ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=1 ttl=63 time=279 ms                        
64 bytes from 10.10.10.25: icmp_seq=2 ttl=63 time=241 ms                        
^C                                      
--- 10.10.10.25 ping statistics ---     
2 packets transmitted, 2 received, 0% packet loss, time 1001ms                  
rtt min/avg/max/mdev = 240.673/259.994/279.315/19.321 ms                        
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=1 ttl=63 time=558 ms                        
64 bytes from 10.10.10.25: icmp_seq=2 ttl=63 time=391 ms                        
64 bytes from 10.10.10.25: icmp_seq=3 ttl=63 time=222 ms                        
^C                                      
--- 10.10.10.25 ping statistics ---     
3 packets transmitted, 3 received, 0% packet loss, time 2000ms                  
rtt min/avg/max/mdev = 221.970/390.435/558.279/137.298 ms                       
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=59 ttl=63 time=200 ms                       
64 bytes from 10.10.10.25: icmp_seq=60 ttl=63 time=253 ms                       
64 bytes from 10.10.10.25: icmp_seq=61 ttl=63 time=217 ms                       
64 bytes from 10.10.10.25: icmp_seq=62 ttl=63 time=587 ms                       
64 bytes from 10.10.10.25: icmp_seq=63 ttl=63 time=616 ms                       
64 bytes from 10.10.10.25: icmp_seq=64 ttl=63 time=183 ms                       
64 bytes from 10.10.10.25: icmp_seq=65 ttl=63 time=368 ms                       
64 bytes from 10.10.10.25: icmp_seq=66 ttl=63 time=329 ms                       
64 bytes from 10.10.10.25: icmp_seq=67 ttl=63 time=290 ms                       
64 bytes from 10.10.10.25: icmp_seq=68 ttl=63 time=248 ms                       
64 bytes from 10.10.10.25: icmp_seq=69 ttl=63 time=207 ms                       
64 bytes from 10.10.10.25: icmp_seq=70 ttl=63 time=570 ms                       
64 bytes from 10.10.10.25: icmp_seq=71 ttl=63 time=596 ms                       
64 bytes from 10.10.10.25: icmp_seq=72 ttl=63 time=250 ms                       
64 bytes from 10.10.10.25: icmp_seq=73 ttl=63 time=277 ms                       
64 bytes from 10.10.10.25: icmp_seq=74 ttl=63 time=232 ms                       
64 bytes from 10.10.10.25: icmp_seq=75 ttl=63 time=276 ms                       
64 bytes from 10.10.10.25: icmp_seq=76 ttl=63 time=241 ms                       
64 bytes from 10.10.10.25: icmp_seq=77 ttl=63 time=212 ms                       
64 bytes from 10.10.10.25: icmp_seq=78 ttl=63 time=552 ms                       
64 bytes from 10.10.10.25: icmp_seq=79 ttl=63 time=217 ms                       
64 bytes from 10.10.10.25: icmp_seq=80 ttl=63 time=396 ms                       
64 bytes from 10.10.10.25: icmp_seq=81 ttl=63 time=212 ms                       
64 bytes from 10.10.10.25: icmp_seq=82 ttl=63 time=314 ms                       
64 bytes from 10.10.10.25: icmp_seq=83 ttl=63 time=202 ms                       
64 bytes from 10.10.10.25: icmp_seq=84 ttl=63 time=232 ms                       
^C                                      
--- 10.10.10.25 ping statistics ---     
85 packets transmitted, 26 received, 69.4118% packet loss, time 85409ms         
rtt min/avg/max/mdev = 183.236/318.420/615.599/139.353 ms                       
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
8 packets transmitted, 0 received, 100% packet loss, time 7160ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
6 packets transmitted, 0 received, 100% packet loss, time 5099ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
6 packets transmitted, 0 received, 100% packet loss, time 5125ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
45 packets transmitted, 0 received, 100% packet loss, time 45032ms              

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
10 packets transmitted, 0 received, 100% packet loss, time 9215ms               

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
5 packets transmitted, 0 received, 100% packet loss, time 4087ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
6 packets transmitted, 0 received, 100% packet loss, time 5119ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
6 packets transmitted, 0 received, 100% packet loss, time 5096ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
3 packets transmitted, 0 received, 100% packet loss, time 2031ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
4 packets transmitted, 0 received, 100% packet loss, time 3083ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
15 packets transmitted, 0 received, 100% packet loss, time 14320ms              

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
8 packets transmitted, 0 received, 100% packet loss, time 7165ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
6 packets transmitted, 0 received, 100% packet loss, time 5118ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=1 ttl=63 time=218 ms                        
64 bytes from 10.10.10.25: icmp_seq=2 ttl=63 time=634 ms                        
64 bytes from 10.10.10.25: icmp_seq=3 ttl=63 time=216 ms                        
64 bytes from 10.10.10.25: icmp_seq=4 ttl=63 time=211 ms                        
64 bytes from 10.10.10.25: icmp_seq=5 ttl=63 time=203 ms                        
64 bytes from 10.10.10.25: icmp_seq=6 ttl=63 time=327 ms                        
64 bytes from 10.10.10.25: icmp_seq=7 ttl=63 time=230 ms                        
64 bytes from 10.10.10.25: icmp_seq=8 ttl=63 time=246 ms                        
64 bytes from 10.10.10.25: icmp_seq=9 ttl=63 time=207 ms                        
64 bytes from 10.10.10.25: icmp_seq=10 ttl=63 time=612 ms                       
64 bytes from 10.10.10.25: icmp_seq=11 ttl=63 time=212 ms                       
64 bytes from 10.10.10.25: icmp_seq=12 ttl=63 time=402 ms                       
64 bytes from 10.10.10.25: icmp_seq=13 ttl=63 time=359 ms                       
64 bytes from 10.10.10.25: icmp_seq=14 ttl=63 time=221 ms                       
64 bytes from 10.10.10.25: icmp_seq=15 ttl=63 time=192 ms                       
64 bytes from 10.10.10.25: icmp_seq=16 ttl=63 time=211 ms                       
64 bytes from 10.10.10.25: icmp_seq=17 ttl=63 time=568 ms                       
64 bytes from 10.10.10.25: icmp_seq=18 ttl=63 time=585 ms                       
64 bytes from 10.10.10.25: icmp_seq=19 ttl=63 time=610 ms                       
64 bytes from 10.10.10.25: icmp_seq=20 ttl=63 time=394 ms                       
64 bytes from 10.10.10.25: icmp_seq=21 ttl=63 time=205 ms                       
64 bytes from 10.10.10.25: icmp_seq=22 ttl=63 time=306 ms                       
64 bytes from 10.10.10.25: icmp_seq=23 ttl=63 time=193 ms                       
64 bytes from 10.10.10.25: icmp_seq=24 ttl=63 time=227 ms                       
64 bytes from 10.10.10.25: icmp_seq=25 ttl=63 time=368 ms                       
64 bytes from 10.10.10.25: icmp_seq=26 ttl=63 time=225 ms                       
64 bytes from 10.10.10.25: icmp_seq=27 ttl=63 time=227 ms                       
64 bytes from 10.10.10.25: icmp_seq=28 ttl=63 time=382 ms                       
64 bytes from 10.10.10.25: icmp_seq=29 ttl=63 time=343 ms                       
64 bytes from 10.10.10.25: icmp_seq=30 ttl=63 time=200 ms                       
64 bytes from 10.10.10.25: icmp_seq=31 ttl=63 time=187 ms                       
64 bytes from 10.10.10.25: icmp_seq=32 ttl=63 time=218 ms                       
64 bytes from 10.10.10.25: icmp_seq=33 ttl=63 time=517 ms                       
64 bytes from 10.10.10.25: icmp_seq=34 ttl=63 time=223 ms                       
64 bytes from 10.10.10.25: icmp_seq=35 ttl=63 time=411 ms                       
64 bytes from 10.10.10.25: icmp_seq=36 ttl=63 time=375 ms                       
64 bytes from 10.10.10.25: icmp_seq=37 ttl=63 time=329 ms                       
64 bytes from 10.10.10.25: icmp_seq=38 ttl=63 time=290 ms                       
64 bytes from 10.10.10.25: icmp_seq=39 ttl=63 time=214 ms                       
64 bytes from 10.10.10.25: icmp_seq=40 ttl=63 time=215 ms                       
64 bytes from 10.10.10.25: icmp_seq=41 ttl=63 time=300 ms                       
64 bytes from 10.10.10.25: icmp_seq=42 ttl=63 time=224 ms                       
64 bytes from 10.10.10.25: icmp_seq=43 ttl=63 time=234 ms                       
64 bytes from 10.10.10.25: icmp_seq=44 ttl=63 time=363 ms                       
64 bytes from 10.10.10.25: icmp_seq=45 ttl=63 time=308 ms                       
64 bytes from 10.10.10.25: icmp_seq=46 ttl=63 time=284 ms                       
64 bytes from 10.10.10.25: icmp_seq=47 ttl=63 time=246 ms                       
64 bytes from 10.10.10.25: icmp_seq=48 ttl=63 time=655 ms                       
64 bytes from 10.10.10.25: icmp_seq=49 ttl=63 time=681 ms                       
64 bytes from 10.10.10.25: icmp_seq=50 ttl=63 time=500 ms                       
64 bytes from 10.10.10.25: icmp_seq=51 ttl=63 time=203 ms                       
64 bytes from 10.10.10.25: icmp_seq=52 ttl=63 time=205 ms                       
64 bytes from 10.10.10.25: icmp_seq=53 ttl=63 time=208 ms                       
64 bytes from 10.10.10.25: icmp_seq=54 ttl=63 time=202 ms                       
64 bytes from 10.10.10.25: icmp_seq=55 ttl=63 time=231 ms                       
64 bytes from 10.10.10.25: icmp_seq=56 ttl=63 time=204 ms                       
64 bytes from 10.10.10.25: icmp_seq=57 ttl=63 time=292 ms                       
64 bytes from 10.10.10.25: icmp_seq=58 ttl=63 time=599 ms                       
64 bytes from 10.10.10.25: icmp_seq=59 ttl=63 time=201 ms                       
64 bytes from 10.10.10.25: icmp_seq=60 ttl=63 time=345 ms                       
64 bytes from 10.10.10.25: icmp_seq=61 ttl=63 time=303 ms                       
64 bytes from 10.10.10.25: icmp_seq=62 ttl=63 time=264 ms                       
64 bytes from 10.10.10.25: icmp_seq=63 ttl=63 time=206 ms                       
64 bytes from 10.10.10.25: icmp_seq=64 ttl=63 time=500 ms                       
64 bytes from 10.10.10.25: icmp_seq=65 ttl=63 time=218 ms                       
64 bytes from 10.10.10.25: icmp_seq=66 ttl=63 time=223 ms                       
64 bytes from 10.10.10.25: icmp_seq=67 ttl=63 time=185 ms                       
64 bytes from 10.10.10.25: icmp_seq=68 ttl=63 time=202 ms                       
64 bytes from 10.10.10.25: icmp_seq=69 ttl=63 time=1238 ms                      
64 bytes from 10.10.10.25: icmp_seq=70 ttl=63 time=355 ms                       
64 bytes from 10.10.10.25: icmp_seq=71 ttl=63 time=470 ms                       
64 bytes from 10.10.10.25: icmp_seq=72 ttl=63 time=563 ms                       
64 bytes from 10.10.10.25: icmp_seq=73 ttl=63 time=588 ms                       
64 bytes from 10.10.10.25: icmp_seq=74 ttl=63 time=206 ms                       
64 bytes from 10.10.10.25: icmp_seq=75 ttl=63 time=207 ms                       
64 bytes from 10.10.10.25: icmp_seq=76 ttl=63 time=197 ms                       
64 bytes from 10.10.10.25: icmp_seq=77 ttl=63 time=241 ms                       
64 bytes from 10.10.10.25: icmp_seq=78 ttl=63 time=215 ms                       
64 bytes from 10.10.10.25: icmp_seq=79 ttl=63 time=516 ms                       
64 bytes from 10.10.10.25: icmp_seq=80 ttl=63 time=544 ms                       
64 bytes from 10.10.10.25: icmp_seq=81 ttl=63 time=220 ms                       
64 bytes from 10.10.10.25: icmp_seq=82 ttl=63 time=371 ms                       
64 bytes from 10.10.10.25: icmp_seq=83 ttl=63 time=330 ms                       
64 bytes from 10.10.10.25: icmp_seq=84 ttl=63 time=201 ms                       
64 bytes from 10.10.10.25: icmp_seq=85 ttl=63 time=251 ms                       
64 bytes from 10.10.10.25: icmp_seq=86 ttl=63 time=212 ms                       
64 bytes from 10.10.10.25: icmp_seq=87 ttl=63 time=211 ms                       
64 bytes from 10.10.10.25: icmp_seq=88 ttl=63 time=216 ms                       
64 bytes from 10.10.10.25: icmp_seq=89 ttl=63 time=400 ms                       
64 bytes from 10.10.10.25: icmp_seq=90 ttl=63 time=219 ms                       
64 bytes from 10.10.10.25: icmp_seq=91 ttl=63 time=197 ms                       
64 bytes from 10.10.10.25: icmp_seq=92 ttl=63 time=277 ms                       
64 bytes from 10.10.10.25: icmp_seq=93 ttl=63 time=223 ms                       
64 bytes from 10.10.10.25: icmp_seq=94 ttl=63 time=654 ms                       
64 bytes from 10.10.10.25: icmp_seq=95 ttl=63 time=674 ms                       
64 bytes from 10.10.10.25: icmp_seq=96 ttl=63 time=492 ms                       
64 bytes from 10.10.10.25: icmp_seq=97 ttl=63 time=392 ms                       
64 bytes from 10.10.10.25: icmp_seq=98 ttl=63 time=196 ms                       
64 bytes from 10.10.10.25: icmp_seq=99 ttl=63 time=310 ms                       
64 bytes from 10.10.10.25: icmp_seq=100 ttl=63 time=272 ms                      
64 bytes from 10.10.10.25: icmp_seq=101 ttl=63 time=226 ms                      
64 bytes from 10.10.10.25: icmp_seq=102 ttl=63 time=633 ms                      
64 bytes from 10.10.10.25: icmp_seq=103 ttl=63 time=200 ms                      
64 bytes from 10.10.10.25: icmp_seq=104 ttl=63 time=478 ms                      
64 bytes from 10.10.10.25: icmp_seq=105 ttl=63 time=382 ms                      
64 bytes from 10.10.10.25: icmp_seq=106 ttl=63 time=196 ms                      
64 bytes from 10.10.10.25: icmp_seq=107 ttl=63 time=194 ms                      
^C                                      
--- 10.10.10.25 ping statistics ---     
146 packets transmitted, 107 received, 26.7123% packet loss, time 146069ms      
rtt min/avg/max/mdev = 185.429/327.724/1237.558/167.718 ms, pipe 2              
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=1 ttl=63 time=240 ms                        
64 bytes from 10.10.10.25: icmp_seq=2 ttl=63 time=204 ms                        
64 bytes from 10.10.10.25: icmp_seq=4 ttl=63 time=582 ms                        
64 bytes from 10.10.10.25: icmp_seq=5 ttl=63 time=381 ms                        
64 bytes from 10.10.10.25: icmp_seq=6 ttl=63 time=340 ms                        
64 bytes from 10.10.10.25: icmp_seq=7 ttl=63 time=304 ms                        
64 bytes from 10.10.10.25: icmp_seq=8 ttl=63 time=259 ms                        
64 bytes from 10.10.10.25: icmp_seq=9 ttl=63 time=222 ms                        
64 bytes from 10.10.10.25: icmp_seq=10 ttl=63 time=503 ms                       
64 bytes from 10.10.10.25: icmp_seq=11 ttl=63 time=191 ms                       
64 bytes from 10.10.10.25: icmp_seq=12 ttl=63 time=231 ms                       
64 bytes from 10.10.10.25: icmp_seq=13 ttl=63 time=205 ms                       
64 bytes from 10.10.10.25: icmp_seq=14 ttl=63 time=339 ms                       
64 bytes from 10.10.10.25: icmp_seq=15 ttl=63 time=295 ms                       
64 bytes from 10.10.10.25: icmp_seq=16 ttl=63 time=254 ms                       
64 bytes from 10.10.10.25: icmp_seq=17 ttl=63 time=221 ms                       
64 bytes from 10.10.10.25: icmp_seq=18 ttl=63 time=501 ms                       
64 bytes from 10.10.10.25: icmp_seq=19 ttl=63 time=218 ms                       
64 bytes from 10.10.10.25: icmp_seq=20 ttl=63 time=214 ms                       
64 bytes from 10.10.10.25: icmp_seq=21 ttl=63 time=765 ms                       
64 bytes from 10.10.10.25: icmp_seq=22 ttl=63 time=1594 ms                      
64 bytes from 10.10.10.25: icmp_seq=24 ttl=63 time=1547 ms                      
64 bytes from 10.10.10.25: icmp_seq=25 ttl=63 time=728 ms                       
64 bytes from 10.10.10.25: icmp_seq=26 ttl=63 time=1073 ms                      
64 bytes from 10.10.10.25: icmp_seq=27 ttl=63 time=201 ms                       
64 bytes from 10.10.10.25: icmp_seq=28 ttl=63 time=205 ms                       
